"rid";"_categories_rid";"_parent_rid";"level"
13716;1452;105;1
13717;1452;1236;2
13718;1453;105;1
13719;1453;1236;2
13720;1454;105;1
13721;1454;1236;2
13722;1455;105;1
13723;1455;1236;2
13724;1456;105;1
13725;1456;1236;2
13726;1457;105;1
13727;1457;1236;2
13728;1458;105;1
13729;1458;1237;2
13730;1459;105;1
13731;1459;1237;2
13732;1460;105;1
13733;1460;1237;2
13734;1461;105;1
13735;1461;1237;2
13736;1462;105;1
13737;1462;1237;2
13738;1463;105;1
13739;1463;1237;2
13740;1464;105;1
13741;1464;1237;2
13742;1465;105;1
13743;1465;1237;2
13744;1466;105;1
13745;1466;1237;2
13746;1467;105;1
13747;1467;1237;2
13748;1467;1466;3
13749;1468;105;1
13750;1468;1237;2
13751;1468;1466;3
13752;1469;105;1
13753;1469;1237;2
13754;1469;1466;3
13755;1470;105;1
13756;1470;1237;2
13757;1471;105;1
13758;1471;1238;2
13759;1472;105;1
13760;1472;1238;2
13761;1473;105;1
13762;1473;1238;2
13763;1474;105;1
13764;1474;1238;2
13765;1475;105;1
13766;1475;1238;2
13767;1476;105;1
13768;1476;1238;2
13769;1477;105;1
13770;1477;1238;2
13771;1478;105;1
13772;1478;1238;2
13773;1479;105;1
13774;1479;1238;2
13775;1480;105;1
13776;1480;1238;2
13777;1481;105;1
13778;1481;1238;2
13779;1482;105;1
13780;1482;1238;2
13781;1483;105;1
13782;1483;1238;2
13783;1484;105;1
13784;1484;1238;2
13785;1485;105;1
13786;1485;1239;2
13787;1486;105;1
13788;1486;1239;2
13789;1487;105;1
13790;1487;1239;2
13791;1488;105;1
13792;1488;1239;2
13793;1489;105;1
13794;1489;1239;2
13795;1490;105;1
13796;1490;1239;2
13797;1491;105;1
13798;1491;1240;2
13799;1492;105;1
13800;1492;1240;2
13801;1493;105;1
13802;1493;1240;2
13803;1494;105;1
13804;1494;1240;2
13805;1495;105;1
13806;1495;1240;2
13807;1496;105;1
13808;1496;1240;2
13809;1497;105;1
13810;1497;1240;2
13811;1498;105;1
13812;1498;1240;2
13813;1499;105;1
13814;1499;1240;2
13815;1500;111;1
13816;1501;111;1
13817;1501;1500;2
13818;1502;111;1
13819;1503;111;1
13820;1503;1502;2
13821;1504;101;1
13822;1505;99;1
13823;1505;586;2
13824;1506;99;1
13825;1506;586;2
13826;1507;99;1
13827;1507;586;2
13828;1508;99;1
13829;1508;586;2
13830;1509;110;1
13831;1509;658;2
13832;1510;113;1
13833;1510;716;2
13834;1511;113;1
13835;1511;726;2
13836;1512;113;1
13837;1512;726;2
13838;1513;113;1
13839;1513;726;2
13840;1514;113;1
13841;1514;726;2
13842;1515;113;1
13843;1515;726;2
13844;1516;113;1
13845;1516;730;2
